# Preprocessed by replacing every named entities by their label, directly in the text
science_related,scientific_claim,scientific_reference,scientific_context,tokens
0,0.0,0.0,0.0,knee bit sore guess sign recent treadmilling work
0,0.0,0.0,0.0,mcdonald breakfast stop then gym emoticon emoticon
1,1.0,0.0,0.0,gynecologist cancer experience explain danger transvaginal douching fluoride other toxin such dioxin hashtag pdx
1,1.0,0.0,0.0,couch lock high lead sleep couch get stop do shit
1,1.0,0.0,0.0,daily routine help prevent problem bipolar disorder url
0,0.0,0.0,0.0,impact infertility relationship url
1,1.0,1.0,1.0,traffic jam brain neuron statin relate cognitive decline url
1,1.0,0.0,0.0,play more game improve life save world person person url hashtag
1,0.0,1.0,1.0,effect climate change iceberg production greenland glacier url
0,0.0,0.0,0.0,person person oh loneliness cheeseburger dangerous mix
0,0.0,0.0,0.0,hashtag bbcsportsday honestly think liverpool left back right wing away cl fabio coentrao james rodriguez
0,0.0,0.0,0.0,person damn book lady decide stop fuckin retard ill here day
0,0.0,0.0,0.0,science suck
0,0.0,0.0,0.0,url pay attention classification essay format
1,0.0,0.0,1.0,person person person pls support hashtag nih funding help fight hashtag pancreaticcancer person person hashtag
1,1.0,0.0,0.0,poverty great child labour hashtag risepakistan
1,1.0,0.0,0.0,person drinking chocolate milk prove help relieve muscle soreness workout person dink jy dis waar
0,0.0,0.0,0.0,about just go bed maybe cry little maybe stop breathe okay okay
0,0.0,0.0,0.0,person stop search right person just look good catcher one catch heart start fall
0,0.0,0.0,0.0,hm revenue define tax evasion serious sum involve high number money worthy prosecution url
0,0.0,0.0,0.0,lazy marketer increase rich leader recognize protect chino hills california
0,0.0,0.0,0.0,god dammit poor decision lead negative consequence happen again
0,0.0,0.0,0.0,new post outline solo mapping activity science url perhaps useful other subject too
0,0.0,0.0,0.0,girl ass big enough cause pile hashtag bse hashtag toolive presents hashtag xxxplicit hashtag number dixie hwy hollywood fl time number
1,1.0,0.0,0.0,wise physician say good medicine humans love ask work increase dose
0,0.0,0.0,0.0,zimmerman win lotto people please stop spread krazy rumor
1,1.0,0.0,0.0,think unhealthy living generally think diet exercise diet exercise intricate url
0,0.0,0.0,0.0,hashtag breaking somalia al shabab ambush kenyan force low hashtag juba region url
0,0.0,0.0,0.0,dude people stop retweete fake frank ocean account
0,0.0,0.0,0.0,teach child treat animal responsibly teach captivity join url hashtag freeallcetacea person
1,1.0,0.0,0.0,caution printer cause health problems find more here url
0,0.0,0.0,0.0,hashtag youknowyouinthehoodwhen see tagging all stop sign shit
1,0.0,1.0,1.0,mdlinx blog mdlinx blog neuropsychological finding pediatric maltreatment relationship ptsd url
0,0.0,0.0,0.0,rt person barrick gold report number money loss url
0,0.0,0.0,0.0,let stop talk anus
0,0.0,0.0,0.0,mortgage rate continue low ahead url hashtag mortgage
0,0.0,0.0,0.0,person hashtag zodiacareus lavender scent associate hashtag gemini so reason loveeeeeeee lavende
1,1.0,0.0,0.0,number percent cat bear blue eye deaf
1,1.0,0.0,1.0,person person person person person number study indicate brain atrophy cause stress religion
1,1.0,0.0,0.0,thinking cause mind create negative scenario replay painful memory
1,1.0,1.0,1.0,sleep boost brain cell number url
0,0.0,0.0,0.0,please read request support wonderful charity continue pray helen wade michelle url
0,0.0,0.0,0.0,person stop ahahahah year sex ed
1,1.0,1.0,1.0,versatile micrornas choke cancer blood supply suppress metastasis science daily press release url
0,0.0,0.0,0.0,nerd sprawl oral history apple design url
1,1.0,0.0,0.0,person medieval time red hair associate intense sexual desire moral degradation person
0,0.0,0.0,0.0,person god see knw yr heart fighter continue stand strong pray
1,1.0,0.0,0.0,person do bill gun law fucking world stop mentally ill killer kill people
0,0.0,0.0,0.0,yay bianca mt person cancer suck show support person affect positive change now sign petition url
0,0.0,0.0,0.0,little bellend have stop cry oh my god get grip
0,0.0,0.0,0.0,wavy pound cake freestyle url support record one just send person
0,0.0,0.0,0.0,world stop el classico rule even stop play fifa
0,0.0,0.0,0.0,guy singing no woman no drive good video support saudi women challenging driving ban thi url
0,0.0,0.0,0.0,fold suit shirt pants together prevent wrinkling url
1,0.0,1.0,1.0,modeling precision treatment breast cancer look great url
1,1.0,0.0,0.0,person think legalise prostitution state decrease sexual abusing pls give reply mam
0,0.0,0.0,0.0,aegon uk rise earning url
0,0.0,0.0,0.0,person eye gift send straight god boy hahahaha
0,0.0,0.0,0.0,amazon plan lower cost process big datum cloud url hashtag socialmedia
1,1.0,1.0,1.0,hashtag multiple hashtag births cost significantly more single births study show url
0,0.0,0.0,0.0,taxi
1,1.0,0.0,0.0,existence absolute poverty today point indifference many rich world url person
0,0.0,0.0,0.0,gta v heists demand increase pressure rockstar url hashtag gtav
0,0.0,0.0,0.0,let hope make glad patient time trouble never stop pray hashtag
0,0.0,0.0,0.0,leafs play average game pittsburgh mistake lead leafs goal penguin deserve w
0,0.0,0.0,0.0,cindy starfall promote cindy starfall url fan vote person
1,1.0,1.0,1.0,europa moon jupiter have gigantic ocean icy surface crack shoot water jet space url
0,0.0,0.0,0.0,hashtag wreckingbail number rally support fire bogota mayor colombians believe petro dismissal threaten person
0,0.0,0.0,0.0,isis supports wells fargo visa card wells fargo isis emoticon mobile commerce joint venture create url
1,1.0,1.0,1.0,lucky find toe fossil unlock genetic encyclopedia neanderthal url
0,0.0,0.0,0.0,damn dragon go back bed stop breathe fire everywhere
0,0.0,0.0,0.0,person medium stop look caste identity start look performance mlas ministers official policeman person
0,0.0,0.0,0.0,hashtag weloveandmissyouzayn hashtag onedirectionpleasedoafollowspreefornewyear rt support gay right
0,0.0,0.0,0.0,goal follow number stop number drop number number open shop
0,0.0,0.0,0.0,hildersham villager unite stop pub closure person person url
1,1.0,1.0,1.0,person study show infection increase risk stroke heart attack url
0,0.0,0.0,0.0,look fun science activity cold month ahead january science calendar url person
0,0.0,0.0,0.0,person hashtag congbjpquitindia stop false propaganda url hashtag unitedwithaap
0,0.0,0.0,0.0,microsoft say product demand remain high reports record number money revenue url
0,0.0,0.0,0.0,trekstock hold london la so stop spread rumour
0,0.0,0.0,0.0,dog stop fuckin snore
0,0.0,0.0,0.0,cesar stop whole war go break cheerleading
0,0.0,0.0,0.0,hashtag revenge interesting character non stop action full twist great new thriller url xvva
1,1.0,0.0,0.0,law lead guilt guilt lead struggle struggle lead failure failure lead more guilt guilt lead more sin hopelessness
0,0.0,0.0,0.0,floral hall wedding fayre sunday mar proceed door go person please come support hashtag tunstall hashtag stoke
0,0.0,0.0,0.0,noble die number deaths til heart change hashtag wearethepeople
1,0.0,1.0,1.0,biology belief unleash power consciousness matter miracle bruce lipton scientist turn mystic
0,0.0,0.0,0.0,supposedly grow man stop talk flappy bird group chat only topic discussion today
0,0.0,0.0,0.0,hey guess new twitter new phone so yea please lik direct tweet nd please follow thank luvs bii
0,0.0,0.0,0.0,person exactly be link cause text message send just perform follow
0,0.0,0.0,0.0,yep eat vegetarian today geez person piglet smoothie fed sow prevent disease activists outraged url
