# Preprocessed by saving the presence of each named entity as a feature
science_related,scientific_claim,scientific_reference,scientific_context,tokens,has_num,has_perc,has_url,has_emoji,has_mention,has_hash
0,0.0,0.0,0.0,knee bit sore guess sign recent treadmilling work,0,0,0,0,0,0
0,0.0,0.0,0.0,mcdonald breakfast stop then gym,0,0,0,1,0,0
1,1.0,0.0,0.0,gynecologist cancer experience explain danger transvaginal douching fluoride other toxin such dioxin pdx,0,0,0,0,0,1
1,1.0,0.0,0.0,couch lock high lead sleep couch get stop do shit,0,0,0,0,0,0
1,1.0,0.0,0.0,daily routine help prevent problem bipolar disorder,0,0,1,0,0,0
0,0.0,0.0,0.0,impact infertility relationship,0,0,1,0,0,0
1,1.0,1.0,1.0,traffic jam brain neuron statin relate cognitive decline,0,0,1,0,0,0
1,1.0,0.0,0.0,play more game improve life save world,1,0,1,0,1,1
1,0.0,1.0,1.0,effect climate change iceberg production greenland glacier,0,0,1,0,0,0
0,0.0,0.0,0.0,oh loneliness cheeseburger dangerous mix,0,0,0,0,1,0
0,0.0,0.0,0.0,bbcsportsday honestly think liverpool left back right wing away cl fabio coentrao james rodriguez,0,0,0,0,0,1
0,0.0,0.0,0.0,damn book lady decide stop fuckin retard ill here day,1,0,0,0,1,0
0,0.0,0.0,0.0,science suck,0,0,0,0,0,0
0,0.0,0.0,0.0,pay attention classification essay format,0,0,1,0,0,0
1,0.0,0.0,1.0,support nih funding help fight pancreaticcancer,0,0,0,0,1,1
1,1.0,0.0,0.0,poverty great child labour risepakistan,0,0,0,0,0,1
1,1.0,0.0,0.0,drinking chocolate milk prove help relieve muscle soreness workout dink jy dis waar,0,0,0,0,1,0
0,0.0,0.0,0.0,about just go bed maybe cry little maybe stop breathe okay okay,0,0,0,0,0,0
0,0.0,0.0,0.0,stop search right person just look good catcher one catch heart start fall,0,0,0,0,1,0
0,0.0,0.0,0.0,hm revenue define tax evasion serious sum involve high worthy prosecution,1,0,1,0,0,0
0,0.0,0.0,0.0,lazy marketer increase rich leader recognize protect chino hills california,0,0,0,0,0,0
0,0.0,0.0,0.0,god dammit poor decision lead negative consequence happen again,0,0,0,0,0,0
0,0.0,0.0,0.0,new post outline solo mapping activity science perhaps useful other subject too,0,0,1,0,0,0
0,0.0,0.0,0.0,girl ass big enough cause pile bse toolive present xxxplicit dixie hwy hollywood fl time,1,0,0,0,1,1
1,1.0,0.0,0.0,wise physician say good medicine humans love ask work increase dose,0,0,0,0,0,0
0,0.0,0.0,0.0,zimmerman win lotto people please stop spread krazy rumor,0,0,0,0,0,0
1,1.0,0.0,0.0,think unhealthy living generally think diet exercise diet exercise intricate,0,0,1,0,0,0
0,0.0,0.0,0.0,breaking somalia al shabab ambush kenyan force low juba region,0,0,1,0,0,1
0,0.0,0.0,0.0,dude people stop retweete fake frank ocean account,0,0,0,0,0,0
0,0.0,0.0,0.0,teach child treat animal responsibly teach captivity join freeallcetacea,0,0,1,0,1,1
1,1.0,0.0,0.0,caution printer cause health problems find more here,0,0,1,0,0,0
0,0.0,0.0,0.0,youknowyouinthehoodwhen see tagging all stop sign shit,0,0,0,0,0,1
1,0.0,1.0,1.0,mdlinx blog mdlinx blog neuropsychological finding pediatric maltreatment relationship ptsd,0,0,1,0,0,0
0,0.0,0.0,0.0,rt barrick gold report loss,1,0,1,0,1,0
0,0.0,0.0,0.0,let stop talk anus,0,0,0,0,0,0
0,0.0,0.0,0.0,mortgage rate continue low ahead mortgage,0,0,1,0,0,1
0,0.0,0.0,0.0,zodiacareus lavender scent associate gemini so reason loveeeeeeee lavende,0,0,0,0,1,1
1,1.0,0.0,0.0,cat bear blue eye deaf,1,0,0,0,0,0
1,1.0,0.0,1.0,study indicate brain atrophy cause stress religion,1,0,0,0,1,0
1,1.0,0.0,0.0,thinking cause mind create negative scenario replay painful memory,0,0,0,0,0,0
1,1.0,1.0,1.0,sleep boost brain cell number,0,0,1,0,0,0
0,0.0,0.0,0.0,please read request support wonderful charity continue pray helen wade michelle,0,0,1,0,0,0
0,0.0,0.0,0.0,omg stop ahahahah year sex ed,1,0,0,0,1,0
1,1.0,1.0,1.0,versatile micrornas choke cancer blood supply suppress metastasis science daily press release,0,0,1,0,0,0
0,0.0,0.0,0.0,nerd sprawl oral history apple design,0,0,1,0,0,0
1,1.0,0.0,0.0,medieval time red hair associate intense sexual desire moral degradation,0,0,0,0,1,0
0,0.0,0.0,0.0,god see knw yr heart fighter continue stand strong pray,0,0,0,0,1,0
1,1.0,0.0,0.0,do bill gun law fucking world stop mentally ill killer kill people,0,0,0,0,1,0
0,0.0,0.0,0.0,yay bianca mt cancer suck show support affect positive change now sign petition,0,0,1,0,1,0
0,0.0,0.0,0.0,little bellend have stop cry oh my god get grip,0,0,0,0,0,0
0,0.0,0.0,0.0,wavy pound cake freestyle support record one just send,0,0,1,0,1,0
0,0.0,0.0,0.0,world stop el classico rule even stop play fifa,0,0,0,0,0,0
0,0.0,0.0,0.0,guy singing no woman no drive good video support saudi women challenging driving ban thi,0,0,1,0,0,0
0,0.0,0.0,0.0,fold suit shirt pants together prevent wrinkling,0,0,1,0,0,0
1,0.0,1.0,1.0,modeling precision treatment breast cancer look great,0,0,1,0,0,0
1,1.0,0.0,0.0,think legalise prostitution state decrease sexual abusing pls give reply mam,0,0,0,0,1,0
0,0.0,0.0,0.0,aegon uk rise earning,0,0,1,0,0,0
0,0.0,0.0,0.0,eye gift send straight god boy hahahaha,0,0,0,0,1,0
0,0.0,0.0,0.0,amazon plan lower cost process big datum cloud socialmedia,0,0,1,0,0,1
